,r11,r12,r13,r21,r22,r23,r31,r32,r33,px,py,pz,gripper
86,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.015300365793444109,0.005100121931148036,0.49744993903442597,0
87,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.01581464794288349,0.005271549314294497,0.49736422534285274,0
88,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.016339555866782988,0.005446518622260996,0.4972767406888695,0
89,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.016875163805298257,0.005625054601766086,0.49718747269911695,0
90,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.01742154496215517,0.005807181654051723,0.49709640917297415,0
91,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.017978771507966416,0.005992923835988806,0.4970035380820056,0
92,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.018546914583548048,0.006182304861182683,0.4969088475694087,0
93,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.019126044303236063,0.006375348101078687,0.4968123259494607,0
94,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.019716229758203016,0.0065720765860676714,0.4967139617069662,0
95,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.020317539019774532,0.00677251300659151,0.49661374349670423,0
96,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.020930039142745924,0.0069766797142486415,0.4965116601428757,0
97,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.021553796168698774,0.007184598722899591,0.4964077006385502,0
98,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.022188875129317467,0.007396291709772489,0.49630185414511374,0
99,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.022835340049705822,0.007611780016568607,0.4961941099917157,0
100,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.02349325395170359,0.007831084650567864,0.4960844576747161,0
101,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.024162678857203128,0.008054226285734377,0.4959728868571328,0
102,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.024843675791465895,0.008281225263821966,0.49585938736808904,0
103,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.025536304786439055,0.008512101595479686,0.49574394920226017,0
104,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.026240624884072077,0.008746874961357358,0.4956265625193213,0
105,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.026956694139633232,0.008985564713211077,0.49550721764339445,0
106,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.027684569625026266,0.009228189875008756,0.49538590506249564,0
107,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.028424307432106947,0.009474769144035649,0.49526261542798217,0
108,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.029175962675999555,0.009725320891999852,0.4951373395540001,0
109,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.029939589498413584,0.00997986316613786,0.49501006841693107,0
110,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.03071524107096027,0.01023841369032009,0.49488079315483996,0
111,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.03150296959846908,0.010500989866156359,0.49474950506692184,0
112,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.03230282632230445,0.010767608774101482,0.4946161956129493,0
113,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.03311486152368221,0.011038287174560736,0.4944808564127196,0
114,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.03393912452698629,0.011313041508995429,0.49434347924550226,0
115,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.03477566370308514,0.011591887901028379,0.4942040560494858,0
116,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.03562452647264847,0.01187484215754949,0.49406257892122524,0
117,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.03648575930946374,0.012161919769821245,0.49391904011508936,0
118,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.037359407743752654,0.012453135914584218,0.4937734320427079,0
119,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.03824551636548794,0.012748505455162647,0.4936257472724187,0
120,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.03914412882770977,0.013048042942569922,0.49347597852871505,0
121,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.04005528784984238,0.013351762616614126,0.49332411869169296,0
122,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.04097903522101058,0.013659678407003526,0.4931701607964982,0
123,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.04191541180335649,0.013971803934452163,0.4930140980327739,0
124,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.04286445753535597,0.014288152511785323,0.49285592374410736,0
125,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0438262114351352,0.014608737145045068,0.49269563142747747,0
126,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.04480071160378736,0.014933570534595786,0.4925332147327021,0
127,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0457879952286891,0.0152626650762297,0.4923686674618851,0
128,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.04678809858681722,0.015596032862272407,0.4922019835688638,0
129,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.04780105704806506,0.015933685682688353,0.4920331571586558,0
130,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.048826905078559336,0.016275635026186445,0.4918621824869068,0
131,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.04986567624397649,0.016621892081325498,0.49168905395933726,0
132,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.05091740321285935,0.016972467737619783,0.49151376613119013,0
133,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.05198211775993375,0.017327372586644584,0.4913363137066777,0
134,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.05305985076942506,0.017686616923141687,0.49115669153842917,0
135,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.05415063223837473,0.01805021074612491,0.49097489462693755,0
136,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.05525449127995692,0.01841816375998564,0.4907909181200072,0
137,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.05637145612679504,0.018790485375598347,0.4906047573122008,0
138,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.057501554134278376,0.019167184711426127,0.49041640764428696,0
139,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.058644811783878564,0.019548270594626188,0.4902258647026869,0
